1,Ex Drummer,Kippie Junkinson,Pfannerstill Inc,29.31,Comedy|Crime|Drama|Horror,560974546-2,13-02-2010
2,Cousin Angelica (La prima Angélica),Carmine Beach,Schowalter-Altenwerth,19.48,Drama,295694267-0,27-03-1982
3,Beyond (Svinalängorna),Pansie Stibbs,Barton-Bergnaum,28.97,Drama,666231039-5,26-02-1980
4,"Final Inquiry, The (Inquiry, The) (inchiesta, L')",Tessa Weyland,Nader-Hansen,27.21,Adventure|Drama|Mystery,814932218-3,25-04-1971
5,Vengeance Can Wait,Roxanna Peidro,"Hodkiewicz, Reinger and Mills",36.86,Comedy|Drama|Romance,304421688-5,18-08-2001
6,Henry Poole is Here,Rorie Mico,"Torphy, Predovic and Dickens",47.08,Drama|Mystery,196649421-1,03-04-1938
7,"Ronde, La",Greta Vasyunichev,Doyle Inc,38.92,Drama,241052373-0,16-07-1978
8,Rio 2,Andris Kyneton,Jakubowski Inc,13.96,Adventure|Animation|Children|Comedy,736499839-X,29-02-1916
9,Satan Met a Lady,Nariko Thornally,Kling Group,27.09,Comedy|Drama|Mystery,293802141-0,04-06-1940
10,Diary of a Wimpy Kid: Dog Days,Henderson Berrey,Jones-Rolfson,5.69,Children|Comedy,592280911-3,25-06-1902
11,Children of Invention,Britteny Brandrick,"Prohaska, Witting and Langosh",26.3,Drama,661903259-1,31-03-1936
12,"Decameron, The (Decameron, Il)",Phoebe La Rosa,"Tromp, Mayer and Kshlerin",34.8,Comedy|Drama,705319035-8,17-12-1902
13,"Thin Line Between Love and Hate, A",Herold Huff,Collins-Lesch,43.31,Comedy,883692113-2,07-12-1981
14,Free Fall,Francisca Tisun,Howell-Bruen,18.3,Drama,462010013-7,26-04-1955
15,"Don Is Dead, The",Adah Papachristophorou,"Brown, Frami and Ortiz",27.72,Action|Crime|Drama|Thriller,650028069-5,03-02-1944
16,Lost in America,Fairleigh Macak,Shanahan and Sons,29.01,Comedy,932536349-6,02-02-1998
17,Randy Rides Alone,Sela Matuszak,"Hahn, DuBuque and Ferry",14.24,Western,010718240-8,15-05-1967
18,"Baxter, The",Levin Bonsale,Wunsch-Ziemann,22.21,Comedy|Drama|Romance,051262773-8,29-11-1940
19,Comandante,Bonny Pettitt,Dicki-Herman,23.91,Documentary,463344780-7,11-07-1900
20,Blood River,Juieta Aire,Rutherford-Stokes,29.14,Horror|Thriller|Western,385030984-3,30-01-2012
21,Blue,Joan Sprosson,"Kulas, Grady and Sauer",39.26,Drama,994071758-X,08-03-1965
22,Santa's Slay,Scarlett Alltimes,"Morissette, Bins and Mayer",7.98,Comedy|Fantasy|Horror,393440969-5,26-01-1924
23,Defendor,Fiorenze Tetford,"Altenwerth, Olson and Pfeffer",49.27,Comedy|Crime|Drama,471833058-0,29-09-1918
24,Eureka (Yurîka),Marin Dent,Stanton-Goodwin,16.22,Drama,324466347-8,17-02-1921
25,La cravate,Vale Hovell,Lubowitz-Schowalter,46.27,(no genres listed),421035325-6,13-05-1965
26,Iraq for Sale: The War Profiteers,Modestine Van der Daal,Murazik LLC,0.59,Documentary,334022805-1,31-10-1908
27,No Escape,Ashil Dallon,"Keebler, O'Keefe and Brown",35.94,Action|Drama|Sci-Fi,217896905-4,27-08-1903
28,Reservoir Dogs,Gaylene Westhoff,Schmitt-Wisozk,42.86,Crime|Mystery|Thriller,637891515-6,25-08-1997
29,Captain America,Corabella Breem,Wisoky and Sons,33.91,Action|Fantasy|Sci-Fi|Thriller|War,966328578-8,03-01-1950
30,Hansel & Gretel: Witch Hunters,Kathleen McCrainor,Hodkiewicz-Block,43.67,Action|Fantasy|Horror|IMAX,992932205-1,14-09-1975
31,Confidentially Connie,Jack Crossgrove,Feil Inc,49,Children|Comedy,837228097-5,02-04-2008
32,"Bank, The",Jacqueline Franseco,"Bednar, Kozey and Luettgen",34.47,Thriller,594366630-3,13-11-1990
33,Raw Meat (Death Line),Ricki Candwell,Mosciski-Moore,40.82,Horror,830067906-5,11-06-1947
34,"Killing of America, The",Anthe Tomankiewicz,Dickens-Bergstrom,34.84,Documentary,082061033-X,21-05-1976
35,Rubber Johnny,Jordan Relfe,Schmitt and Sons,36.39,Animation|Horror,738842029-0,03-11-1989
36,Jackass 3D,Adelice Coleman,Boyle-Towne,38.78,Action|Comedy|Documentary,876069061-5,27-08-1975
37,"Sleeping Dictionary, The",Hermon Caldairou,Gusikowski LLC,1.29,Drama|Romance,222272821-5,01-08-1929
